R/F	Labneh balls 	Spicy Asian Lettuce Wraps	Taboun Bread	qidreh 	Palestinian Mansaf	Sfiha	Miso Soup	Manqousheh	Sticky Korean Lamb Skewers	Chicken and vegetables soup	Foul Mudammas	Shish Barak	Wasabi Salmon	Palestinian Salad	hummus	Helbeh 	Shrak Bread	Fatayer Zaatar	Ka'ak	Chachouka	Kubbeh	shawrma	Kebab	Noodles	Qatayef	Fried Rice	Tahinia	Falafel	Fasoulia Bil Lahme	Tofu Fried Rice	Vietnamese Caramel Chicken	Freekeh Salad with Marinated Chicken	Sweet Red Bean Paste	Sweetcorn	pita bread	Palestinian Maftoul	Shorbet Adas	Thai Beef Cabbage Wraps	Meat Shish	Kunafeh	musakhan	Peda	Brown Rice Bowl with Miso	Japanese Cheesecake	Sweet and Sour Chicken	Sushi	Naruto Ramune Melon	Thai Green Curry with Shrimp	Sesame Chicken and Noodles in Mushroom Broth	Midye dolma	Mozaik Pasta	Manti	corn	Salata	Pilav	Tavuk Izgara	Warak Dawali	Maqloubeh	Sweet Sesame Noodles	Freekeh soup	Salep	Coca Cola	Philly cheese steak	Mountain dew	Smithfield ham	Cherry Cola	Biscuits 'n' gravy	Boba Tea	Thai Boxer	Thai Beef Rolls	Teriyaki Salmon Rice Bowls	Matcha 	Pork Stir-Fry with Snow Peas	Cream-Filled Gulab Jamun	Korean Barley Tea	Thai Iced Tea	Patisa Barfi	Sweet Omelette	Mu Shu Chicken Lettuce Wraps	Green chile stew	Manoushe Zaatar	Nammoura	Jambalaya	 Fortune cookies	tabouleh	Chicken Shish	California roll	Cornbread	Kunafeh and pita Bread	Jerky	Zait oZaatar	Twinkies	Thai Beef Salad	Tater tots	Moussaka	Thanksgiving Turkey	Dr.pepper	Red Bean Pancakes	Red Bean MooncakesBubble Tea	Vietnamese Salty Lemonade	 Hot dogs	Baked beans	Popcorn	Blueberry cobbler	Pot roast	Borek	Banana split	Meatloaf	Kebap	Cheeseburger	Fried chicken and waffles	Pringles	Chocolate-chip cookies	Fanta	 Buffalo wings	Pide	Apple pie	Peanut butter sandwich	Cobb salad	Fajitas	Barbecue ribs	 Frito pie	 Chicago-style pizza	GORP	Maryland crabcakes	 Chicken fried steak	Wild Alaska salmon	Lobster rolls	Key lime pie	sourdough bread	Barbunya	Grits	Macaroni and cheese	Chicken Yakitori	Doner	Lokum	Cioppino	Meze	Tea	Adana kebap	Dolma	Kuzu Tandir	Kestane	Yogurtlu kebap	Lahmacun	Kunefe	 Baklava	Karides	Levrek	Kurufasulye	kofte	Flounder in Ginger-Sesame Broth	Balik Ekmek	Ayran	Menemen	Gozleme	khave
Palestine 2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Palestine 3	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Palestine 1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Palestine 6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Palestine 7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Palestine 4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Palestine 5	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Asia 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Turkish 10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Palestine 8	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
